Station Code,Name of Monitoring Location,State Name,Temp_Min,Temp_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,DOB_Max,Nitrate?N + Nitrite_N Min,Nitrate?N + Nitrite_N Max,Fecal Coliform_Min,Fecal Coliform_Max,Total Coliform_Min,Total Coliform_Max,Total Dissolved Solids_Min,Total Dissolved Solids_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max,Drinkability
2085,BORE WELL OF SANTEJ VILLAGE.BOREWELL OF SANTEJGRAM PANCHAYAT,GUJARAT,27.0,29.0,7.41,7.9,2238.0,2816.0,7.41,1.2,0.32,0.75,2.0,2.0,2.0,2.0,1368.0,1734.0,0.53,1.01,0.01,0.01,Not Drinkable
2087,"B/W? HAZARDOUS W. DISPOSAL SITE (GUJ. ENVIRO P.& I. LTD.)(GEPIL),SACHIN,SURAT",GUJARAT,29.0,29.0,7.7,7.7,774.0,774.0,7.7,1.6,0.86,1.5950000000000002,2.0,2.0,2.0,2.0,358.0,358.0,0.82,0.82,0.01,0.01,Drinkable
2088,"BORE WELL OF SACHIN GIDC.SACHIN GIDC,SACHIN,SURAT",GUJARAT,29.0,30.0,6.98,7.1,7794.0,8161.0,6.98,1.7,0.2,0.57,2.0,2.0,2.0,2.0,4896.0,5650.0,0.51,0.53,0.01,0.01,Not Drinkable
2089,"B/W NEAR INDL. AREA BORASARA & NAVAPURA, DIST.SURAT.PLOT?202 ,KIM,SURAT.",GUJARAT,29.0,30.0,7.63,7.47,3977.0,4091.0,7.63,1.5,0.48,0.5,2.0,2.0,2.0,2.0,1966.0,2386.0,0.4,0.42,0.01,0.01,Not Drinkable
2090,"WELL AT OLPAD.OLPAD ,SURAT",GUJARAT,28.0,29.0,7.5,7.55,14190.0,14510.0,7.5,1.5,0.48,0.67,2.0,2.0,2.0,2.0,8706.0,8892.0,0.26,0.28,0.01,0.01,Not Drinkable
2091,"BORE WELL OF NAVSARI GIDC INDUSTRIES ASSOCIATION OFFICE.AT? GIDC ?KABILPORE,TA& DI ? NAVSARI, GUJARAT",GUJARAT,30.0,31.0,7.88,8.4,2390.0,2434.0,7.88,1.6,0.32,0.32,2.0,2.0,2.0,2.0,1182.0,1460.0,0.31,0.35,0.01,0.01,Not Drinkable
2092,"WATER WORKS OF NAVSARI NEAR DHUDIA TALAV.AT ? KAGADIWADI, NAVSARI CITY,  TA& DI. NAVSARI, GUJARAT.",GUJARAT,26.0,28.0,7.2,7.47,676.0,870.5,7.2,5.0,0.86,1.5950000000000002,2.0,2.0,4.5,8.0,470.0,578.0,0.31,0.415,0.01,0.01,Drinkable
2093,WELL OF BARDOLI AT RESTHOUSE.BARDOLI?VYARA ROAD,GUJARAT,29.0,30.0,7.48,7.93,1994.0,2094.0,7.48,1.4,0.86,1.5950000000000002,2.0,2.0,2.0,2.0,1158.0,1256.0,0.01,0.01,0.01,0.01,Not Drinkable
2094,"WELL AT ANKLESHWAR INDUSTRIAL AREA (BORE WELL OF M/S INDUSTRIAL CARBON AT ANKLESHWAR? RAJPIPLA ROAD.ANKLESHWAR? RAJPIPLA ROAD, NR GIDC ANKLESHWAR,DIST BHARUCH",GUJARAT,30.0,32.0,7.52,7.76,4312.0,4900.0,7.52,5.0,0.48,0.79,2.0,2.0,2.0,2.0,2624.0,3018.0,0.3,0.72,0.01,0.01,Not Drinkable
2095,"BORE WELL OF  NARSHIBHAI BECHARBHAI ZALAWADIA @ 200 METER AWAY FROM MADHAPAR STP TOWARD ISWARIA MAHADEV TEMPLE,  MADHAPAR, DIST. RAJKOT.BORE WELL OF NARSHIBHAI BECHARBHAI ZALAVADIYA, NR. MADHAPARSTP PLANT, RAJKOT",GUJARAT,29.0,30.0,7.35,8.3,1930.0,2199.0,7.35,1.2,1.35,1.35,1.8,1.8,1.8,1.8,1308.0,1476.0,0.24,0.28,0.01,0.01,Not Drinkable
2096,"BORE WELL, SNR. VINAYAK JAL SUDDHIKARAN SAHAKARI MANDALI LTD. (CETP ), VILL. BAVLA, DIST. AHMEDABAD.S. N. 644/1?4,  VILL. BAVLA, DIST.AHMEDABAD.",GUJARAT,28.0,29.0,7.43,7.68,3825.0,7765.0,7.43,1.3,0.35,0.52,2.0,2.0,2.0,2.0,1832.0,4728.0,1.4,3.25,0.01,0.01,Not Drinkable
2097,"BORE WELL OF SOMESHWARRICE MILL, NR. BAVLA ECO",GUJARAT,29.0,29.0,7.57,7.7,5465.0,7042.0,7.57,1.1,0.42,0.53,2.0,2.0,2.0,2.0,3260.0,4534.0,0.98,1.31,0.01,0.01,Not Drinkable
2098,"BORE WELL OF PIRANA TERMINAL PUMPING STATION, PIRANA, NR. V. N. BRIDGE, AHMEDABAD.NR. V.N BRIDGE,PIRANA, AHMEDABAD",GUJARAT,29.0,30.0,7.03,7.42,3403.0,3880.0,7.03,5.0,0.61,0.63,2.0,2.0,2.0,2.0,2050.0,2250.0,1.24,1.76,0.01,0.01,Not Drinkable
3207,"BOREWELL OF GIDC, JHAGADIAAT FINAL PUMPING STATION, GIDC JHAGHADIA, DISTBHARUCH",GUJARAT,27.0,28.0,7.46,7.56,1730.0,2220.0,7.46,5.0,0.32,0.32,2.0,2.0,2.0,2.0,936.0,1164.0,0.5,0.54,0.01,0.01,Not Drinkable
3208,"JILLA PANCHAYAT SCHOOL, NEAR GRAM PANCHAYAT KATA FALIA, VILLAGE NAMDHA, VALSADB/W AT JILLA PANCHAY SCHOOLNEAR GRAM PANCHAYAT KATA FALIA, VILLAGE NAMDHA,VALSAD",GUJARAT,27.0,27.0,7.87,7.87,899.0,899.0,7.87,5.0,0.53,0.53,1.8,1.8,1.8,1.8,454.0,454.0,0.48,0.48,0.01,0.01,Drinkable
3209,"BOREWELL OF GAYATRI PRAGNA SCHOOL, BHADARWAD ROAD, BAZAR FALIA, SARIGAM, VALSADBOREWELL OF GAYATRI PRAGNA SCHOOL, BHADARWAD ROAD, BAZAR FALIA, SARIGAM,VALSAD",GUJARAT,26.0,29.0,7.58,8.15,892.0,1375.0,7.58,5.0,0.41,0.51,1.8,1.8,1.8,1.8,628.0,680.0,0.32,0.45,0.01,0.01,Not Drinkable
3210,"BOREWELL AT PIRAMAL GLASS, VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA,SURATKOSAMBA,SURAT",GUJARAT,29.0,30.0,7.46,7.84,3920.0,3966.0,7.46,1.4,0.51,0.58,2.0,2.0,2.0,2.0,2380.0,2860.0,0.36,0.39,0.01,0.01,Not Drinkable
3211,"BOREWELL AT PRIMARY HEALTH CENTER, KADODARA,SURATKADODARA,SURAT",GUJARAT,28.0,28.0,7.73,8.33,2040.0,2155.0,7.73,1.6,0.86,1.5950000000000002,2.0,2.0,2.0,2.0,1146.0,1224.0,0.25,0.27,0.01,0.01,Not Drinkable
3212,"BOREWELL NEAR CENTER OF EXCELLENCE BUILDING, GIDC, VATVA, AHMEDABADCENTER OF EXCELLENCE BUILDING, PLOT NO 511 GIDC? PHASE IV, VATVA,AHMEDABAD",GUJARAT,28.0,28.0,7.25,7.35,2420.0,2888.0,7.25,1.2,0.44,0.44,2.0,2.0,2.0,2.0,1610.0,1734.0,0.4,0.88,0.01,0.01,Not Drinkable
3213,"BOREWELL, CETP?NARODA, GIDC, NARODA?AHMEDABADPLOT NO 512?515 PHASE ?I GIDC ?NARODA?AHMEDABAD",GUJARAT,26.0,28.0,7.17,7.17,2230.0,2230.0,7.17,1.4,0.37,0.37,2.0,2.0,2.0,2.0,1320.0,1320.0,0.95,0.95,0.01,0.01,Not Drinkable
3214,"BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION BUILDING, GIDC, ODHAV, AHMEDABADODHAV INDUSTRIAL ASSOCIATION BUILDING, PLOT NO H 35, GIDC, ODHAV, ODHAVROAD AHMEDABAD",GUJARAT,27.0,27.0,7.32,7.4,2817.0,3169.0,7.32,1.2,0.73,0.73,2.0,2.0,2.0,2.0,1648.0,1872.0,0.21,1.41,0.01,0.01,Not Drinkable
3215,"BOREWELL NEAR MUNICIPAL SOLID WASTE SITE? GYASPUR, NAROL, AHMEDABADNR. GYASPUR SANITARY LANDFILLSITE, GYASPUR, AHMEDABAD",GUJARAT,26.0,30.0,7.3,7.49,3209.0,4459.0,7.3,5.0,0.32,0.58,2.0,2.0,2.0,2.0,2004.0,2592.0,1.41,3.7,0.01,0.01,Not Drinkable
3216,"BOREWELL NEAR TSDF SITE OF GREEN ENVIRONMNET SERVICES CO. OP.LTD, VATVA, AHMEDABADTSDF SITE OF GREEN ENVIRONMNET SERVICES CO. OP.LTD, S. NO 89,90,91 VINZOL TAL DASKROI ,AHMEDABAD",GUJARAT,27.0,27.0,7.52,7.6,2640.0,3296.0,7.52,1.3,0.35,0.35,2.0,2.0,2.0,2.0,1744.0,1960.0,1.0,1.67,0.01,0.01,Not Drinkable
3217,"BOREWELL NEAR TSDF SITE OF NARODA ENVIRO PROJECT.LTD, ODHAVE, AHMEDABADTSDF SITE OF NARODA ENVIRO PROJECT.LTD, S NO 286  ,VASTRAL ROAD ,ODHAVE",GUJARAT,27.0,27.0,7.38,7.49,2595.0,2998.0,7.38,1.3,0.31,0.61,2.0,2.0,2.0,2.0,1516.0,1804.0,0.96,1.39,0.01,0.01,Not Drinkable
3218,"WELL OF MODASA, NAGAR PALIKA, VARIGRUH, MODASAWELL OF MODASA, NAGAR PALIKA, VARIGRUH, AT.MODASA. DIST. ARVALLI",GUJARAT,26.0,27.0,7.46,7.67,932.0,1410.0,7.46,1.4,0.37,0.56,2.0,2.0,2.0,2.0,566.0,750.0,0.52,1.21,0.01,0.01,Not Drinkable
3219,"WELL OF IDAR, NAGAR PALIKA, SAKARIA, IDARBOREWELL OF IDAR NAGARPALIKA, AT. SAKARIA, TA. IDAR, DIST.SABARKANTHA",GUJARAT,25.0,27.0,7.18,7.22,1462.0,1690.0,7.18,5.0,0.33,0.68,2.0,2.0,2.0,2.0,754.0,870.0,0.9,1.01,0.01,0.01,Not Drinkable
3220,"BOREWELL OF GIDC?NADIAD AT GIDC OFFICE, GIDC NADIAD, KHEDABOREWELL OF GIDC? NADIAD AT GIDC OFFICE, GIDCNADIAD, KHEDA",GUJARAT,32.0,36.0,7.67,7.9,2776.0,4620.0,7.67,5.0,0.4,8.8,1.8,1.8,1.8,1.8,1810.0,2460.0,0.24,0.6,0.01,0.01,Not Drinkable
3221,"BOREWELL OF TOWN RAJPIPLA, DIST.NARMADANAGARPALIKA OFFICE, AT RAJPIPLA, DISTNARMADA",GUJARAT,27.0,28.0,7.43,7.81,700.0,717.0,7.43,5.0,0.32,0.32,2.0,2.0,2.0,2.0,478.0,496.0,0.01,0.01,0.01,0.01,Drinkable
3222,"BOREWELL OF GIDC, PANOLIAT WATER TREATMENT PLANT ,GIDC PANOLI, DIST BHARUCH",GUJARAT,31.0,32.0,7.57,7.64,3570.0,4270.0,7.57,5.0,0.34,0.34,2.0,2.0,2.0,2.0,2158.0,2700.0,0.53,0.6,0.01,0.01,Not Drinkable
3223,"BOREWELL KADI INDUSTRIAL AREAKADI GIDC, TAL: KADI, DIST :MEHSANA",GUJARAT,30.0,30.0,-7.78,8.08,1882.0,2450.0,-7.78,5.0,0.41,0.41,1.8,1.8,1.8,1.8,980.0,1420.0,0.78,1.08,0.01,0.01,Not Drinkable
3224,"DEESA BOREWELLMAIN WATER TANK, BESIDE BHANASALI HOSPITAL, NEAR SARDAR GARDEN, DEESA, DIST?BANASKANTHA",GUJARAT,27.0,28.0,7.52,7.94,676.0,870.5,7.52,1.2,0.51,0.56,2.0,2.0,2.0,2.0,468.0,478.0,840.0,1108.0,0.01,0.01,Not Drinkable
3225,"VISNAGAR BOREWELLVISNAGAR GIDC, TAL : VISNAGAR, DIST:MEHSANA",GUJARAT,30.0,30.0,7.44,7.89,2388.0,2450.0,7.44,5.0,0.45,0.87,1.8,1.8,1.8,1.8,1314.0,1390.0,0.89,1.72,0.01,0.01,Not Drinkable
3226,"PATAN BOREWELLWATER PUMPING STATION, GANDHIBAG, JANTA HOSPITAL ROAD, PATAN,DIST?PATAN",GUJARAT,27.0,28.0,7.6,8.08,2185.0,2386.0,7.6,1.1,0.42,0.42,2.0,2.0,2.0,2.0,1222.0,1330.0,1.86,4.02,0.01,0.01,Not Drinkable
3227,"VIJAPUR (RANASAN) BOREWELLRANASAN GIDC, VILL: RANASAN, TAL : VIJAPUR, DIST:MEHSANA",GUJARAT,30.0,35.0,7.43,7.59,2082.0,2644.0,7.43,5.0,0.86,1.5950000000000002,1.8,1.8,1.8,1.8,1124.0,1474.0,0.9,1.51,0.01,0.01,Not Drinkable
3228,"GIDC, HALOL, PANCHMAHALBORE WELL OF M/S. SAFARI INDUSTRIES, GIDC,HALOL, DIST. PNCHMAHAL",GUJARAT,28.0,29.0,7.45,7.5,3252.0,3908.0,7.45,5.0,1.26,7.14,1.8,1.8,1.8,1.8,1884.0,2110.0,0.99,1.44,0.01,0.01,Not Drinkable
3229,"GIDC, DAHOD, DAHODHAND PUMP OPP. M/S STAR REDIATOR, CHAKALIYA ROAD, GIDC, DAHOD,DIST. DAHOD",GUJARAT,28.0,29.0,7.2,7.76,1727.0,1836.0,7.2,5.0,0.67,-9.98,1.8,1.8,1.8,1.8,1120.0,1310.0,0.94,1.1,0.01,0.01,Not Drinkable
3230,"BOREWELL OF GIDC, JUNAGADHPLOT NO. 317, GIDC? II, DOLATPARA, AT:JUNAGADH,TAL:JUNAGADH, DIST:JUNAGADH",GUJARAT,28.0,28.0,7.1,7.97,3390.0,4511.0,7.1,1.1,1.33,1.35,1.8,1.8,1.8,1.8,2388.0,3048.0,0.77,0.95,0.01,0.01,Not Drinkable
3231,"BOREWELL NEAR TSDF SITE OF SAURASHTRA ENVIRO PROJECT LTD., JUNA KATARIYA, BHACHAUBOREWELL NEAR TSDF SITE OF SAURASHTRA ENVIRO PROJECT LTD., JUNA KATARIYA,BHACHAU",GUJARAT,26.0,35.0,7.72,8.02,560.0,630.0,7.72,2.8,0.86,1.5950000000000002,1.8,1.8,1.8,1.8,382.0,412.0,0.31,0.415,0.01,0.01,Drinkable
3232,"BOREWELL OF GIDC, ANTALIA WATER SUPPLY, BILLIMORA,GANDEVIAT? GIDC ? ANTALIA, TA?",GUJARAT,30.0,33.0,7.87,8.22,2411.0,3494.0,7.87,1.5,0.51,0.58,2.0,2.0,2.0,2.0,1192.0,2096.0,0.24,0.26,0.01,0.01,Not Drinkable
3233,"BOREWELL OF KALIAWADI GRID ROAD, NAVSARIAT ? KALIYAWADI, NAVSARI CITY,TA & DI ? NAVSARI, GUJARAT.",GUJARAT,30.0,31.0,8.15,8.21,2614.0,2629.0,8.15,1.7,0.33,0.47,2.0,2.0,2.0,2.0,1324.0,1576.0,0.28,0.29,0.01,0.01,Not Drinkable
3234,"BOREWELL NERA TSDF OF NANDESARI ENVIRO CONTROL LIMITED, NADESARI, VADODARATSDF SITE OFNANDESARI",GUJARAT,28.0,30.0,6.92,8.29,4887.0,10717.0,6.92,1.6,1.14,11.9,1.8,1.8,1.8,1.8,3170.0,7230.0,0.81,1.35,0.01,0.01,Not Drinkable
3235,"BOREWELL OF GIDC KALOL, B/H GIDC OFFICE, GIDC, KALOL, GANDHINAGARBOREWELL OFKALOL GIDC",GUJARAT,28.0,30.0,7.6,7.64,2109.0,2798.0,7.6,1.1,0.39,0.72,2.0,2.0,2.0,2.0,1265.0,1624.0,0.58,0.99,0.01,0.01,Not Drinkable
3236,"BOREWELL OF M/S ALFA ECA (I) LTD., UNIT?1, SR.NO. 249, UMA IND. ESTATE, VASNA , IYAVA, SANAND, AHMEDABADSR.NO. 249, UMA IND. ESTATE, VASNA ,IYAVA, SANAND, AHMEDABAD",GUJARAT,28.0,32.0,7.63,7.76,3372.0,4690.0,7.63,1.3,0.47,0.7,2.0,2.0,2.0,2.0,1798.0,2520.0,0.58,0.81,0.01,0.01,Not Drinkable
3237,"BOREWELL OF L & T LTD., PLOT NO. 144/146, SARKHEJ?BAVLA ROAD, SANAND, AHMEDABAD PLOT NO. 144/146, SARKHEJ? BAVLA ROAD, SANAND,AHMEDABAD",GUJARAT,28.0,31.0,7.59,8.0,1908.0,2837.0,7.59,1.1,0.41,0.51,2.0,2.0,2.0,2.0,1272.0,1716.0,0.37,1.0,0.01,0.01,Not Drinkable
3238,"BOREWELL OF GIDC KANSARIBORE WELL OF GIDC KANSARI,IN THE PREMISES OF GIDC WATER SUPPLY TANK, GIDC KANSARI, TA. KHAMBHAT, DIST.ANAND",GUJARAT,29.0,29.0,7.75,7.85,5725.0,5989.0,7.75,5.0,0.79,4.8,1.8,1.8,1.8,1.8,3680.0,3720.0,0.59,1.08,0.01,0.01,Not Drinkable
3239,"BOREWELL OF GIDC, SOJITRABOREWELL OF GIDC, SOJITRA IN THE PREMISES OF GIDC WATER SUPPLY TANK,GIDC?SOJITRA, TA. SOJITRA, DIST.ANAND.",GUJARAT,29.0,29.0,7.65,7.67,3741.0,4020.0,7.65,5.0,0.86,9.5,1.8,1.8,1.8,1.8,2430.0,2612.0,0.77,1.11,0.01,0.01,Not Drinkable
3240,"BOREWELL OF AJI GIDC ASSOCIATION OFFICE, PLOT NO. C?1/2, ROAD NO ?B NR. ASHISHMETAL, RAJKOTBORE WELL OF",GUJARAT,27.0,30.0,7.45,7.6,676.0,870.5,7.45,1.1,1.35,1.43,1.8,1.8,1.8,1.8,760.0,1288.0,0.24,0.46,0.01,0.01,Not Drinkable
3241,"BOREWELL NEAR MUNICIPAL SOLID WASTE SITE, NAKARWADI,RAJKOT",GUJARAT,29.0,30.0,7.55,8.22,676.0,870.5,7.55,1.2,1.35,1.35,1.8,1.8,1.8,1.8,1624.0,1724.0,0.35,0.65,0.01,0.01,Not Drinkable
3242,"BOREWELL NEAR TSDF OF GUJARAT MARITIME BOARD, ALANG, BHAVNAGARBAPA SITARAM MADHI, ALANG RD, VIL?MANAR, BHAVNAGAR",GUJARAT,29.0,29.0,7.96,7.96,3020.0,3020.0,7.96,2.1,0.52,0.52,1.8,1.8,1.8,1.8,1710.0,1710.0,0.48,0.48,0.01,0.01,Not Drinkable
3243,"BOREWELL OF GIDC, VARTEJ, BHAVNAGARGIDC OF VARTEJ, NEAR MADHUSILICA INDUSTRY,VARTEJ, BHAVNAGAR",GUJARAT,29.0,29.0,7.54,7.54,3870.0,3870.0,7.54,2.7,0.04,0.04,1.8,1.8,1.8,1.8,2146.0,2146.0,0.24,0.24,0.01,0.01,Not Drinkable
3244,"BOREWELL NEAR TSDF OF BHARUCH ENVIRO INFRASTRUCTURE LIMITED, ANKLESHWAR, BHARUCHAT BEIL TSDF SITE, GIDC ANKLESHWAR,DIST BHARUCH",GUJARAT,30.0,32.0,7.16,7.59,3042.0,3993.0,7.16,5.0,0.32,0.32,2.0,2.0,2.0,2.0,2070.0,2538.0,0.32,0.48,0.01,0.01,Not Drinkable
3245,"BOREWELL AT DHANGADHRA NEAR DHANGADHRA CHEMICALSBOREWELL AT DHRANGADHRA, NEAR DCW LIMITED, DHRANGADHRA, TAL. DHRANGADHRA, DIST.SURENDRANAGAR",GUJARAT,31.0,31.0,7.55,8.08,4515.0,5234.0,7.55,1.2,1.21,1.24,1.8,1.8,4.5,8.0,2740.0,3444.0,0.85,1.18,0.01,0.01,Not Drinkable
3246,"BOREWELL OF GIDC OFFICE, SHANKAR TEKRI, UDHYOGNAGAR, JAMNANGARBORWELL OF GIDC ASSOCIATION OFFICE,JAMNAGAR",GUJARAT,26.0,28.0,7.31,7.7,2418.0,2851.0,7.31,1.7,0.32,0.33,1.8,1.8,1.8,1.8,1308.0,1898.0,0.24,0.28,0.01,0.01,Not Drinkable
3247,"BOREWELL OF SHRI MAHAVIR METAL CRAFT PVT. LTD., PLOT NO. 3059, ROAD NO.6, NR. MAHAVIR CIRCLE, PHASE?III, GIDC, DARED, JAMNAGARPLOT NO. 3059, ROAD NO.6, NR. MAHAVIR CIRCLE, PHASE?III,GIDC, DARED, JAMNAGAR",GUJARAT,25.0,28.0,7.28,7.47,2280.0,2897.0,7.28,1.7,0.32,0.32,1.8,1.8,1.8,1.8,1316.0,1520.0,0.23,0.23,0.01,0.01,Not Drinkable
4411,"BOREWELL OF MR. HITENDRABHAI LAKHMANBHAI KER SHIV SAI PARK, NEWSMASHAN ROAD,",GUJARAT,27.0,28.0,7.32,7.48,2755.0,2901.0,7.32,1.6,0.32,0.34,1.8,1.8,1.8,1.8,1314.0,1334.0,0.21,0.23,0.01,0.01,Not Drinkable
4412,"BOREWELL OF SHRI KANKESHWAR MAHADEV MANDIR, OPP. MSW DUMPSITE, VIBHAPAROPP. MSW DUMPSITE,VIBHAPAR",GUJARAT,28.0,29.0,-7.38,7.4,1390.0,5594.0,-7.38,6.0,0.32,0.32,1.8,1.8,1.8,1.8,636.0,4106.0,0.25,0.25,0.01,0.01,Not Drinkable
4413,"B/W OF JASHWANTBHAI PARMAR, S. NO. 18 AT: VILLAGE KALAMSAR, TA KHAMBHATB/W OF JASHWANTBHAI PARMARS. NO. 18, NR.KHODIYAR PURA, VILL. KALAMSAR, TA.KHAMBHAT,DIST. ANAND",GUJARAT,28.0,29.0,8.05,7.47,1575.0,2012.0,8.05,5.0,0.47,3.77,1.8,1.8,1.8,1.8,1030.0,1372.0,0.6,0.72,0.01,0.01,Not Drinkable
4416,BORE WELL AT VORAGAMDINEAR MSW SITE OF VADODARA MUNICIPALCORPORATION,GUJARAT,29.0,29.0,7.78,7.9,2452.0,2524.0,7.78,5.0,0.32,0.81,2.0,2.0,4.5,8.0,1588.0,1640.0,0.77,0.85,0.01,0.01,Not Drinkable
4422,"BORE WELL OF ITI COLLAGE OPP, M/S PALIWAL MILK AT MOTA SONELA, MODASA ROAD, TAL, LUNAVADA, DIST. MAHISAGARBORE WELL OF ITI COLLAGE, MOTASONELA, TAL.LUNAWADA, DIST. MAHISAGAR",GUJARAT,28.0,29.0,7.14,7.32,976.0,1292.0,7.14,5.0,0.65,9.13,1.8,1.8,1.8,1.8,630.0,724.0,0.44,0.86,0.01,0.01,Not Drinkable
4836,"TUBEWELL NO. 1, NEAR UPSTREAM GHAGGAR RIVER,VILLAGE CHIALI",HARYANA,26.0,28.0,7.8,8.0,850.0,874.0,7.8,5.0,0.86,1.5950000000000002,2.0,2.0,1.8,1.8,510.0,686.0,0.31,0.415,0.01,0.01,Not Drinkable
4837,"TUBEWELL NO. 2, NEARGURUDWARA, VILLAGE BHATIA",HARYANA,26.0,28.0,7.5,7.8,1080.0,1120.0,7.5,5.0,0.86,1.5950000000000002,2.0,2.0,1.8,1.8,648.0,668.0,0.31,0.415,0.01,0.01,Not Drinkable
4838,"HAND PUMP INSTALLED NEAR PIR BABA MANDIR, SECTOR ? 13,BHIWANI",HARYANA,26.0,28.0,7.9,7.9,676.0,870.5,7.9,5.0,0.86,1.5950000000000002,2.0,2.0,1.8,1.8,612.0,612.0,0.31,0.415,0.01,0.01,Not Drinkable
4839,"TUBEWELL AT PRITHLA, PALWAL",HARYANA,20.0,22.0,7.1,7.3,2970.0,3760.0,7.1,5.0,0.86,1.5950000000000002,2.0,2.0,4.5,8.0,1630.0,2070.0,0.01,0.01,0.01,0.01,Not Drinkable
4840,"TUBEWELL AT HATHIN, PLAWAL",HARYANA,21.0,21.0,7.4,7.7,5970.0,6330.0,7.4,5.0,0.86,1.5950000000000002,2.0,2.0,4.5,8.0,3280.0,3480.0,0.7,0.9,0.01,0.01,Not Drinkable
4841,"TUBEWELL AT GARHI, HODAL ,PALWAL",HARYANA,21.0,21.0,7.5,7.8,4510.0,4810.0,7.5,5.0,0.86,1.5950000000000002,2.0,2.0,4.5,8.0,2480.0,2670.0,0.9,1.1,0.01,0.01,Not Drinkable
4842,TUBEWELL NEAR POLICESTATION,HARYANA,7.3,20.0,7.3,7.4,2340.0,2420.0,7.3,5.0,0.86,1.5950000000000002,1.8,1.8,1.8,1.8,1280.0,1330.0,0.01,0.01,0.01,0.01,Not Drinkable
4843,"GEPIL, VILLAGE PALI, MOHABATABAD CRUSHER ZONE,FARIDABAD",HARYANA,21.0,29.0,6.7,7.5,1130.0,1230.0,6.7,5.0,0.86,1.5950000000000002,1.8,1.8,1.8,1.8,620.0,680.0,0.7,0.7,0.01,0.01,Not Drinkable
4847,"TUBEWELL NO. 4, HAILY MANDI, TEHSIL ? PATAUDI (PWD),GURUGRAM",HARYANA,15.1,33.4,7.0,7.1,1350.0,1390.0,7.0,5.0,0.86,1.5950000000000002,2.0,2.0,700.0,800.0,744.0,766.0,0.31,0.415,0.01,0.01,Not Drinkable
4848,"TUBEWELL HSSIDC, NEAR PLOTNO. 7, SECTOR 37, GURUGRAM",HARYANA,28.0,28.0,7.4,7.4,1040.0,1040.0,7.4,5.0,0.86,1.5950000000000002,2.0,2.0,4.5,8.0,570.0,570.0,0.9,0.9,0.01,0.01,Not Drinkable
4849,"BOREWELL AT ENTRY GATE OF ANSAL PIONEER INDUSTRIAL PARK, PATHERI, BILASPUR,GURUGRAM",HARYANA,26.8,26.8,7.5,7.5,1410.0,1410.0,7.5,5.0,0.86,1.5950000000000002,2.0,2.0,800.0,800.0,770.0,770.0,0.31,0.415,0.01,0.01,Not Drinkable
4850,"BOREWELL OF WATER WORKS, SECTOR ? 35, HSIIDC, NH ? 8,GURUGRAM",HARYANA,23.8,23.8,7.1,7.1,1420.0,1420.0,7.1,5.0,0.86,1.5950000000000002,2.0,2.0,900.0,900.0,780.0,780.0,0.31,0.415,0.01,0.01,Not Drinkable
4852,"TUBEWELL AT FAUJI DHABA, GTKARNAL ROAD, PANIPAT",HARYANA,26.0,28.0,8.19,8.19,904.0,904.0,8.19,2.4,0.38,0.38,2.0,2.0,4.5,8.0,530.0,530.0,0.23,0.23,0.01,0.01,Not Drinkable
1555,"TUBEWELL NEAR JSV PUMP STATION RESIDENTIAL AREAKHERI, KALA AMB,",HIMACHAL PRADESH,26.0,28.0,7.15,7.23,969.0,1099.0,7.15,1.1,0.32,3.83,1.8,1.8,1.8,1.8,420.0,465.0,0.45,0.82,0.01,0.01,Drinkable
1556,BOREWELL NEAR JSV TANKHEERPUR AT PAONTA SAHIB,HIMACHAL PRADESH,21.0,25.0,7.74,7.97,446.0,840.0,7.74,5.0,0.32,5.0,1.8,1.8,4.5,6.8,285.0,353.0,0.47,1.09,0.01,0.01,Drinkable
1557,BOREWELL AT GABRIEL INDIA LTD. INDUSTRIAL AREAPARWANOO,HIMACHAL PRADESH,26.0,28.0,7.47,8.06,551.0,739.0,7.47,5.0,5.71,13.96,14.0,14.0,70.0,70.0,276.0,417.0,0.48,0.48,0.01,0.01,Drinkable
1558,GROUND WATER NEAR VMTSPINNING AT BADDI,HIMACHAL PRADESH,26.0,28.0,7.73,7.73,1807.0,1807.0,7.73,5.0,2.52,2.52,1.8,1.8,1.8,1.8,1446.0,1446.0,0.23,0.23,0.01,0.01,Not Drinkable
1559,GROUND WATER NEAR HIGH VALLEY RESIDENTIAL COLONYBAROTIWALA  AT BAROTIWALA,HIMACHAL PRADESH,26.0,28.0,7.35,7.98,680.0,1767.0,7.35,2.0,2.23,14.81,4.0,4.0,38.0,38.0,363.6,919.0,0.5,0.5,0.01,0.01,Drinkable
1560,GROUND WATER NEAR DURGA TEMPLE RAJPURA ROADNALAGARH  AT NALAGARH,HIMACHAL PRADESH,26.0,28.0,7.38,7.7,999.0,1078.0,7.38,5.0,5.68,11.64,2.0,2.0,25.0,25.0,576.0,593.0,0.92,0.92,0.01,0.01,Not Drinkable
1561,GROUND WATER NEAR RAMGOPAL TEMPLE AT DAMTAL,HIMACHAL PRADESH,26.0,26.0,6.88,6.88,753.0,753.0,6.88,5.0,0.32,0.32,2.0,2.0,24.0,24.0,480.0,480.0,0.01,0.01,0.01,0.01,Drinkable
